UniprotID,Gene_Name,TDL,Biomacromolecule,IDG_Family,IC_Family,IC_Subfamily,IC_Sub-subfamily,IC_protein,TransporterProtein_Type,Gating_Mechanism,Ion_Type,Transported_ion,Topology,Quaternary_Organization,Transmembrane_Regions,Membrane_Topological_Regions,Intramembrane_Regions,NumberOfPfamADomains
Q4KMQ2,ANO6,Tmacro,protein,ion channel,calcium-dependent chloride channel (ca-clc) family,,,Anoctamin-6,ion channel,voltage-gated,anion channel,"chloride, cation",multi-pass membrane protein,unknown,8,9,0,1
O76090,BEST1,Tmacro,protein,ion channel,anion channel-forming bestrophin (bestrophin) family,,,bestrophin 1,ion channel,,anion channel,chloride,multi-pass membrane protein,heteromeric,4,6,1,1
Q8NFU1,BEST2,Tmacro,protein,ion channel,anion channel-forming bestrophin (bestrophin) family,,,bestrophin 2,ion channel,,anion channel,chloride,multi-pass membrane protein,unknown,4,6,1,1
Q8N1M1,BEST3,Tmacro,protein,ion channel,anion channel-forming bestrophin (bestrophin) family,,,bestrophin 3,ion channel,,anion channel,chloride,multi-pass membrane protein,unknown,4,6,1,1
Q8NFU0,BEST4,Tgray,protein,ion channel,anion channel-forming bestrophin (bestrophin) family,,,bestrophin 4,ion channel,,anion channel,chloride,multi-pass membrane protein,unknown,4,6,1,1
P54289,CACNA2D1,Tclin+,protein,ion channel,calcium channel auxiliary subunit 2 types 1-4 (cca-2) family,,,voltage-dependent calcium channel subunit alpha-2/delta-1,auxiliary transport protein,voltage-gated,cation channel,calcium,single-pass type I membrane protein,heteromeric,1,2,0,4
Q9NY47,CACNA2D2,Tclin+,protein,ion channel,calcium channel auxiliary subunit 2 types 1-4 (cca-2) family,,,voltage-dependent calcium channel subunit alpha-2/delta-2,auxiliary transport protein,voltage-gated,cation channel,calcium,single-pass type I membrane protein,heteromeric,1,2,0,4
Q8IZS8,CACNA2D3,Tclin+,protein,ion channel,calcium channel auxiliary subunit 2 types 1-4 (cca-2) family,,,voltage-dependent calcium channel subunit alpha-2/delta-3,auxiliary transport protein,voltage-gated,cation channel,calcium,single-pass type I membrane protein,heteromeric,1,2,0,3
Q7Z3S7,CACNA2D4,Tclin+,protein,ion channel,calcium channel auxiliary subunit 2 types 1-4 (cca-2) family,,,voltage-dependent calcium channel subunit alpha-2/delta-4,auxiliary transport protein,voltage-gated,cation channel,calcium,single-pass type I membrane protein,heteromeric,1,2,0,3
Q02641,CACNB1,Tclin+,protein,ion channel,calcium channel auxiliary subunit types 1-4 (cca-) family,,,voltage-dependent l-type calcium channel subunit beta-1,auxiliary transport protein,voltage-gated,cation channel,calcium,peripheral membrane protein,heteromeric,0,0,0,2
Q08289,CACNB2,Tclin+,protein,ion channel,calcium channel auxiliary subunit types 1-4 (cca-) family,,,voltage-dependent l-type calcium channel subunit beta-2,auxiliary transport protein,voltage-gated,cation channel,calcium,peripheral membrane protein,heteromeric,0,0,0,2
P54284,CACNB3,Tclin+,protein,ion channel,calcium channel auxiliary subunit types 1-4 (cca-) family,,,voltage-dependent l-type calcium channel subunit beta-3,auxiliary transport protein,voltage-gated,cation channel,calcium,peripheral membrane protein,heteromeric,0,0,0,2
O00305,CACNB4,Tclin+,protein,ion channel,calcium channel auxiliary subunit types 1-4 (cca-) family,,,voltage-dependent l-type calcium channel subunit beta-4,auxiliary transport protein,voltage-gated,cation channel,calcium,peripheral membrane protein,heteromeric,0,0,0,2
Q06432,CACNG1,Tclin+,protein,ion channel,calcium channel auxiliary subunit 1-8 (cca) family,,,Voltage-dependent calcium channel gamma-1 subunit,auxiliary transport protein,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,4,0,0,1
Q9Y698,CACNG2,Tclin+,protein,ion channel,calcium channel auxiliary subunit 1-8 (cca) family,,,Voltage-dependent calcium channel gamma-2 subunit,auxiliary transport protein,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,4,0,0,1
O60359,CACNG3,Tclin+,protein,ion channel,calcium channel auxiliary subunit 1-8 (cca) family,,,Voltage-dependent calcium channel gamma-3 subunit,auxiliary transport protein,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,4,0,0,1
Q9UBN1,CACNG4,Tclin+,protein,ion channel,calcium channel auxiliary subunit 1-8 (cca) family,,,Voltage-dependent calcium channel gamma-4 subunit,auxiliary transport protein,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,4,5,0,1
Q9UF02,CACNG5,Tclin+,protein,ion channel,calcium channel auxiliary subunit 1-8 (cca) family,,,Voltage-dependent calcium channel gamma-5 subunit,auxiliary transport protein,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,4,0,0,1
Q9BXT2,CACNG6,Tclin+,protein,ion channel,calcium channel auxiliary subunit 1-8 (cca) family,,,Voltage-dependent calcium channel gamma-6 subunit,auxiliary transport protein,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,4,0,0,1
P62955,CACNG7,Tclin+,protein,ion channel,calcium channel auxiliary subunit 1-8 (cca) family,,,Voltage-dependent calcium channel gamma-7 subunit,auxiliary transport protein,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,4,0,0,1
Q8WXS5,CACNG8,Tclin+,protein,ion channel,calcium channel auxiliary subunit 1-8 (cca) family,,,Voltage-dependent calcium channel gamma-8 subunit,auxiliary transport protein,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,5,0,0,1
Q13936,CACNA1C,Tclin+,protein,ion channel,calcium channel alpha-1 subunit family,CACNA1C subfamily,,voltage-dependent L-type calcium channel subunit alpha-1c,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,24,25,0,5
Q01668,CACNA1D,Tclin+,protein,ion channel,calcium channel alpha-1 subunit family,CACNA1D subfamily,,voltage-dependent L-type calcium channel subunit alpha-1d,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,24,25,0,5
O60840,CACNA1F,Tclin+,protein,ion channel,calcium channel alpha-1 subunit family,CACNA1F subfamily,,voltage-dependent L-type calcium channel subunit alpha-1f,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,24,25,0,5
Q13698,CACNA1S,Tclin+,protein,ion channel,calcium channel alpha-1 subunit family,CACNA1S subfamily,,voltage-dependent L-type calcium channel subunit alpha-1s,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,24,25,0,5
Q00975,CACNA1B,Tclin+,protein,ion channel,calcium channel alpha-1 subunit family,CACNA1B subfamily,,voltage-dependent N-type calcium channel subunit alpha-1b,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,24,25,0,5
O00555,CACNA1A,Tclin+,protein,ion channel,calcium channel alpha-1 subunit family,CACNA1A subfamily,,voltage-dependent P/Q-type calcium channel subunit alpha-1a,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,24,25,0,5
Q15878,CACNA1E,Tclin+,protein,ion channel,calcium channel alpha-1 subunit family,CACNA1E subfamily,,voltage-dependent R-type calcium channel subunit alpha-1e,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,24,25,0,5
O43497,CACNA1G,Tclin+,protein,ion channel,calcium channel alpha-1 subunit family,CACNA1G subfamily,,voltage-dependent T-type calcium channel subunit alpha-1g,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,unknown,24,25,0,4
O95180,CACNA1H,Tclin+,protein,ion channel,calcium channel alpha-1 subunit family,CACNA1H subfamily,,voltage-dependent T-type calcium channel subunit alpha-1h,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,unknown,24,25,0,4
Q9P0X4,CACNA1I,Tclin+,protein,ion channel,calcium channel alpha-1 subunit family,CACNA1I subfamily,,voltage-dependent T-type calcium channel subunit alpha-1i,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,24,25,0,4
Q8IU99,CALHM1,Tmacro,protein,ion channel,calcium homeostasis modulator calcium channel (calhm-c) family,,,calcium homeostasis modulator protein 1,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,homomeric,4,5,0,1
Q9HA72,CALHM2,Tdark,protein,ion channel,calcium homeostasis modulator calcium channel (calhm-c) family,,,calcium homeostasis modulator protein 2,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,unknown,4,0,0,1
Q86XJ0,CALHM3,Tdark,protein,ion channel,calcium homeostasis modulator calcium channel (calhm-c) family,,,calcium homeostasis modulator protein 3,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,unknown,4,0,0,1
Q8NEC5,CATSPER1,Tclin,protein,ion channel,cation channel sperm-associated family,,,cation channel sperm-associated protein 1,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,6,8,1,1
Q96P56,CATSPER2,Tclin,protein,ion channel,cation channel sperm-associated family,,,cation channel sperm-associated protein 2,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,6,8,1,1
Q86XQ3,CATSPER3,Tclin,protein,ion channel,cation channel sperm-associated family,,,cation channel sperm-associated protein 3,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,6,7,1,1
Q7RTX7,CATSPER4,Tclin,protein,ion channel,cation channel sperm-associated family,,,cation channel sperm-associated protein 4,ion channel,voltage-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,6,8,1,1
A8K7I4,CLCA1,Tmacro,protein,ion channel,epithelial chloride channel (e-clc) family,,,Calcium-activated chloride channel regulator 1,ion channel,,anion channel,chloride,peripheral membrane protein,unknown,0,0,0,3
Q9UQC9,CLCA2,Tmacro,protein,ion channel,epithelial chloride channel (e-clc) family,,,Calcium-activated chloride channel regulator 2,ion channel,ligand-gated,anion channel,chloride,single-pass type I membrane protein,unknown,1,2,0,3
Q9Y6N3,CLCA3P,Tdark,protein,ion channel,epithelial chloride channel (e-clc) family,,,Calcium-activated chloride channel regulator family member 3,ion channel,voltage-gated,anion channel,chloride,,unknown,0,0,0,1
Q14CN2,CLCA4,Tgray,protein,ion channel,epithelial chloride channel (e-clc) family,,,Calcium-activated chloride channel regulator 4,ion channel,,anion channel,chloride,single-pass membrane protein,unknown,1,0,0,3
Q96S66,CLCC1,Tmacro,protein,ion channel,intracellular chloride channel (icc) family,,,Chloride channel CLIC-like protein 1,ion channel,,anion channel,chloride,multi-pass membrane protein,unknown,3,0,0,1
P35523,CLCN1,Tmacro,protein,ion channel,chloride channel family,ClC-1/CLCN1 subfamily,,Chloride channel protein 1,electrochemical potential-driven transporter,voltage-gated,anion channel,chloride,multi-pass membrane protein,homomeric,10,2,7,2
P51788,CLCN2,Tclin+,protein,ion channel,chloride channel family,ClC-2/CLCN2 subfamily,,Chloride channel protein 2,electrochemical potential-driven transporter,voltage-gated,anion channel,chloride,multi-pass membrane protein,unknown,10,2,7,2
P51790,CLCN3,Tmacro,protein,ion channel,chloride channel family,ClC-3/CLCN3 subfamily,,H(+)/Cl(-) exchange transporter 3,electrochemical potential-driven transporter,voltage-gated,anion channel,chloride,multi-pass membrane protein,bimeric,10,2,6,2
P51793,CLCN4,Tmacro,protein,ion channel,chloride channel family,ClC-4/CLCN4 subfamily,,H(+)/Cl(-) exchange transporter 4,electrochemical potential-driven transporter,voltage-gated,anion channel,chloride,multi-pass membrane protein,unknown,10,2,6,3
P51795,CLCN5,Tmacro,protein,ion channel,chloride channel family,ClC-5/CLCN5 subfamily,,H(+)/Cl(-) exchange transporter 5,electrochemical potential-driven transporter,voltage-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,10,2,7,3
P51797,CLCN6,Tmacro,protein,ion channel,chloride channel family,ClC-6/CLCN6 subfamily,,Chloride transport protein 6,electrochemical potential-driven transporter,voltage-gated,anion channel,chloride,multi-pass membrane protein,unknown,10,2,7,2
P51798,CLCN7,Tmacro,protein,ion channel,chloride channel family,ClC-7/CLCN7 subfamily,,H(+)/Cl(-) exchange transporter 7,electrochemical potential-driven transporter,voltage-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,10,2,7,3
P51800,CLCNKA,Tmacro,protein,ion channel,chloride channel family,CLCNKA subfamily,,Chloride channel protein ClC-Ka,electrochemical potential-driven transporter,voltage-gated,anion channel,chloride,multi-pass membrane protein,homomeric,10,1,0,2
P51801,CLCNKB,Tmacro,protein,ion channel,chloride channel family,CLCNKB subfamily,,Chloride channel protein ClC-Kb,electrochemical potential-driven transporter,voltage-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,11,1,0,3
O00299,CLIC1,Tmacro,protein,ion channel,intracellular chloride channel (clic) family,,,Chloride intracellular channel protein 1,ion channel,voltage-gated,anion channel,chloride,single-pass membrane protein,monomer,1,0,0,2
O15247,CLIC2,Tgray,protein,ion channel,intracellular chloride channel (clic) family,,,Chloride intracellular channel protein 2,ion channel,voltage-gated,anion channel,chloride,single-pass membrane protein,monomer,1,0,0,2
O95833,CLIC3,Tgray,protein,ion channel,intracellular chloride channel (clic) family,,,Chloride intracellular channel protein 3,ion channel,voltage-gated,anion channel,chloride,single-pass membrane protein,heteromeric,1,0,0,2
Q9Y696,CLIC4,Tmacro,protein,ion channel,intracellular chloride channel (clic) family,,,Chloride intracellular channel protein 4,ion channel,voltage-gated,anion channel,chloride,single-pass membrane protein,heteromeric,1,0,0,1
Q9NZA1,CLIC5,Tgray,protein,ion channel,intracellular chloride channel (clic) family,,,Chloride intracellular channel protein 5,ion channel,voltage-gated,anion channel,chloride,single-pass membrane protein,heteromeric,1,0,0,1
Q96NY7,CLIC6,Tgray,protein,ion channel,intracellular chloride channel (clic) family,,,Chloride intracellular channel protein 6,ion channel,voltage-gated,anion channel,chloride,single-pass membrane protein,heteromeric,1,0,0,2
P02708,CHRNA1,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,alpha-1/CHRNA1 sub-subfamily,Acetylcholine receptor subunit alpha,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,2,0,4
Q9GZZ6,CHRNA10,Tchem,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,alpha-10/CHRNA10 sub-subfamily,Neuronal acetylcholine receptor subunit alpha-10,ion channel,ligand-gated,cation channel,calcium,multi-pass membrane protein,heteromeric,4,2,0,2
Q15822,CHRNA2,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,alpha-2/CHRNA2 sub-subfamily,Neuronal acetylcholine receptor subunit alpha-2,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,2,0,2
P32297,CHRNA3,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,alpha-3/CHRNA3 sub-subfamily,Neuronal acetylcholine receptor subunit alpha-3,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,2,0,2
P43681,CHRNA4,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,alpha-4/CHRNA4 sub-subfamily,Neuronal acetylcholine receptor subunit alpha-4,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,2,0,2
P30532,CHRNA5,Tchem,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,alpha-5/CHRNA5 sub-subfamily,Neuronal acetylcholine receptor subunit alpha-5,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,3,0,3
Q15825,CHRNA6,Tclin,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,alpha-6/CHRNA6 sub-subfamily,Neuronal acetylcholine receptor subunit alpha-6,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,2,0,2
P36544,CHRNA7,Tclin,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,alpha-7/CHRNA7 sub-subfamily,Neuronal acetylcholine receptor subunit alpha-7,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,homomeric,4,2,0,2
Q9UGM1,CHRNA9,Tchem,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,alpha-9/CHRNA9 sub-subfamily,Neuronal acetylcholine receptor subunit alpha-9,ion channel,ligand-gated,cation channel,calcium,multi-pass membrane protein,bimeric,4,2,0,2
P11230,CHRNB1,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,beta-1/CHRNB1 sub-subfamily,Acetylcholine receptor subunit beta,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,2,0,2
P17787,CHRNB2,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,beta-2/CHRNB2 sub-subfamily,Neuronal acetylcholine receptor subunit beta-2,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,4,0,2
Q05901,CHRNB3,Tclin,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,beta-3/CHRNB3 sub-subfamily,Neuronal acetylcholine receptor subunit beta-3,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,2,0,2
P30926,CHRNB4,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,beta-4/CHRNB4 sub-subfamily,Neuronal acetylcholine receptor subunit beta-4,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,5,0,2
Q07001,CHRND,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,delta/CHRND sub-subfamily,Acetylcholine receptor subunit delta,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,2,0,2
Q04844,CHRNE,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,epsilon/CHRNE sub-subfamily,Acetylcholine receptor subunit epsilon,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,5,0,2
P07510,CHRNG,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",acetylcholine receptor subfamily,gamma/CHRNG sub-subfamily,Acetylcholine receptor subunit gamma,ion channel,ligand-gated,cation channel,cation,multi-pass membrane protein,heteromeric,4,2,0,2
P29973,CNGA1,Tmacro,protein,ion channel,cyclic nucleotide-gated cation channel family,CNGA1 subfamily,,cGMP-gated cation channel alpha-1,ion channel,ligand-gated/voltage-gated,cation channel,"potassium, cation",multi-pass membrane protein,heteromeric,6,7,0,2
Q16280,CNGA2,Tchem,protein,ion channel,cyclic nucleotide-gated cation channel family,CNGA2 subfamily,,Cyclic nucleotide-gated olfactory channel,ion channel,ligand-gated/voltage-gated,cation channel,"potassium, cation",multi-pass membrane protein,heteromeric,6,7,0,2
Q16281,CNGA3,Tmacro,protein,ion channel,cyclic nucleotide-gated cation channel family,CNGA3 subfamily,,Cyclic nucleotide-gated cation channel alpha-3,ion channel,ligand-gated/voltage-gated,cation channel,"potassium, cation",multi-pass membrane protein,heteromeric,6,7,0,2
Q8IV77,CNGA4,Tdark,protein,ion channel,cyclic nucleotide-gated cation channel family,CNGA4 subfamily,,Cyclic nucleotide-gated cation channel alpha-4,ion channel,ligand-gated/voltage-gated,cation channel,"potassium, cation",multi-pass membrane protein,heteromeric,6,7,0,2
Q14028,CNGB1,Tmacro,protein,ion channel,cyclic nucleotide-gated cation channel family,CNGB1 subfamily,,Cyclic nucleotide-gated cation channel beta-1,ion channel,ligand-gated/voltage-gated,cation channel,"potassium, cation",multi-pass membrane protein,heteromeric,6,7,0,1
Q9NQW8,CNGB3,Tmacro,protein,ion channel,cyclic nucleotide-gated cation channel family,CNGB3 subfamily,,Cyclic nucleotide-gated cation channel beta-3,ion channel,ligand-gated/voltage-gated,cation channel,"potassium, cation",multi-pass membrane protein,heteromeric,6,7,0,1
P13569,CFTR,Tclin+,protein,ion channel,ABCC family,CFTR transporter subfamily,,Cystic fibrosis transmembrane conductance regulator,primary active transporter,,anion channel,chloride,multi-pass membrane protein,heteromeric,12,13,0,5
P04839,CYBB,Tchem,protein,ion channel,phagocyte (gp91(phox)) nadph oxidase family,,,Cytochrome b-245 heavy chain,transmembrane electron carrier,voltage-gated,cation channel,proton,multi-pass membrane protein,heteromeric,6,7,0,3
Q5JW98,FAM26D,Tdark,protein,ion channel,calcium homeostasis modulator calcium channel (calhm-c) family,,,Protein FAM26D,ion channel,voltage-gated,cation channel,"calcium, cation",multi-pass membrane protein,unknown,4,0,0,1
Q8N5C1,FAM26E,Tdark,protein,ion channel,FAM26 family,,,Protein FAM26E,ion channel,voltage-gated,cation channel,cation,multi-pass membrane protein,unknown,4,0,0,1
Q5R3K3,Protein FAM26F,Tdark,protein,ion channel,FAM26 family,,,Protein FAM26F,ion channel,voltage-gated,cation channel,cation,multi-pass membrane protein,unknown,4,0,0,1
O00168,FXYD1,Tmacro,protein,ion channel,fxyd family,,,Phospholemman,ion channel,,anion channel,chloride,single-pass type I membrane protein,unknown,1,2,0,1
Q14802,FXYD3,Tmacro,protein,ion channel,fxyd family,,,FXYD domain-containing ion transport regulator 3,ion channel,,anion channel,chloride,single-pass type I membrane protein,unknown,1,2,0,1
P59646,FXYD4,Tgray,protein,ion channel,fxyd family,,,FXYD domain-containing ion transport regulator 4,ion channel,,anion channel,chloride,single-pass type I membrane protein,unknown,1,2,0,1
Q96DB9,FXYD5,Tmacro,protein,ion channel,Phospholemman (plm) family,,,FXYD domain-containing ion transport regulator 5,ion channel,,anion channel,,single-pass type I membrane protein,unknown,1,2,0,1
Q9H0Q3,FXYD6,Tmacro,protein,ion channel,Phospholemman (plm) family,,,FXYD domain-containing ion transport regulator 6,ion channel,,anion channel,,single-pass type I membrane protein,unknown,1,2,0,1
P58550,FXYD6P3,Tdark,protein,ion channel,fxyd family,,,Putative FXYD domain-containing ion transport regulator 8,ion channel,,anion channel,,single-pass type I membrane protein,unknown,1,2,0,1
P58549,FXYD7,Tgray,protein,ion channel,fxyd family,,,FXYD domain-containing ion transport regulator 7,ion channel,,anion channel,,single-pass membrane protein,unknown,1,0,0,1
B7ZAQ6,GPR89A,Tdark,protein,ion channel,golgi pH regulator family,,,Golgi pH regulator A,ion channel,voltage-gated,anion channel,anion,multi-pass membrane protein,homomeric,9,0,0,2
P0CG08,GPR89B,Tdark,protein,ion channel,golgi pH regulator family,,,Golgi pH regulator B,ion channel,voltage-gated,anion channel,anion,multi-pass membrane protein,homomeric,9,0,0,2
P14867,GABRA1,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRA1 sub-subfamily,Gamma-aminobutyric acid receptor subunit alpha-1,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,3
P47869,GABRA2,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRA2 sub-subfamily,Gamma-aminobutyric acid receptor subunit alpha-2,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,3
P34903,GABRA3,Tclin+,protein,ion channel,"neurotransmitter receptor, Cys loop, ligand-gated ion channel (LIC) family",gamma-aminobutyric acid receptor subfamily,GABRA3 sub-subfamily,Gamma-aminobutyric acid receptor subunit alpha-3,ion channel,ligand-gated,anion channel,chloride,multi-pass membrane protein,heteromeric,4,2,0,3
